date,price,stocks
2023-05-26,11875.0,815093
2023-06-02,12000.0,812774
2023-06-09,12060.0,818811
2023-06-16,12130.0,813261
2023-06-30,12080.0,799341
2023-07-07,12460.0,804886
2023-07-14,12480.0,804179
2023-07-21,12115.0,803579
2023-07-28,12205.0,786530
2023-08-04,11990.0,793376
2023-08-11,13010.0,788016
2023-08-18,12795.0,782476
2023-08-25,13270.0,772486
2023-09-01,14160.0,766977
2023-09-08,14255.0,771222
2023-09-15,14455.0,769686
2023-09-22,14265.0,767267
2023-10-13,14840.0,771022
2023-10-20,14455.0,772394
2023-10-27,14460.0,773167
2023-11-03,14245.0,787036
2023-11-10,14355.0,790628
2023-11-17,14200.0,799328
2023-11-24,13965.0,801251
2023-12-01,13395.0,796948
2023-12-08,13615.0,792684
2023-12-15,13520.0,796222
2023-12-22,13910.0,789901
2023-12-29,14170.0,785453
2024-01-05,13850.0,787397
2024-01-12,13770.0,785501
2024-01-19,13875.0,777188
2024-01-26,13665.0,779314
2024-02-02,13290.0,785449
2024-02-23,13810.0,807417
2024-03-01,13915.0,809490
2024-03-08,14250.0,808550
2024-03-15,14790.0,807348
2024-03-22,14510.0,811257
2024-03-29,14665.0,815058
2024-04-12,14695.0,824877
2024-04-19,14565.0,819302
2024-04-26,14195.0,827161
2024-05-10,14130.0,824831
2024-05-17,14685.0,827649
2024-05-24,15025.0,823978
2024-05-31,15350.0,826109
2024-06-07,16020.0,830178
2024-06-14,15235.0,828017
2024-06-21,14900.0,832893
2024-06-28,14955.0,821134
2024-07-05,14580.0,818168
2024-07-12,14590.0,813948
2024-07-19,14595.0,810897
2024-07-26,14365.0,808146
2024-08-02,14385.0,805154
2024-08-09,15925.0,807205
2024-08-16,16060.0,803192
2024-08-23,16350.0,803091
2024-08-30,16640.0,797982
2024-09-06,16545.0,799094
2024-09-13,17025.0,798119
2024-09-20,17875.0,794935
2024-09-27,18555.0,799484
2024-10-11,18100.0,804432
2024-10-18,18295.0,810666
2024-10-25,17760.0,811340
2024-11-01,17785.0,814881
2024-11-08,18355.0,817537
2024-11-15,17650.0,819482
2024-11-22,17325.0,818810
2024-11-29,18260.0,815182
2024-12-06,19030.0,814481
2024-12-13,18525.0,814066
2024-12-20,17660.0,810089
2024-12-27,17645.0,809171
2025-01-03,16840.0,808459
2025-01-10,16980.0,806997
2025-01-17,17475.0,806229
2025-01-24,17430.0,809940
2025-02-07,17500.0,823173
2025-02-14,17935.0,827806
2025-02-21,17845.0,825474
2025-02-28,17710.0,829088
2025-03-07,17380.0,830811
2025-03-14,17180.0,832831
2025-03-21,16940.0,829776
2025-03-28,16670.0,836226
2025-04-11,14995.0,839869
2025-04-18,14590.0,840581
2025-04-25,14720.0,838950
2025-05-09,14620.0,841480
2025-05-16,14905.0,843651
2025-05-23,14535.0,841676
2025-05-30,13405.0,837881
2025-06-06,13650.0,834474
2025-06-13,13875.0,823231
2025-06-20,13900.0,817632
2025-06-27,14045.0,821716
2025-07-04,14005.0,829024
2025-07-11,14360.0,824865
2025-07-18,14810.0,821496
2025-07-25,15585.0,829432
2025-08-01,14310.0,826638
2025-08-08,15550.0,829900
2025-08-15,15905.0,824109
2025-08-22,15625.0,822493
2025-08-29,15860.0,825417
2025-09-05,16325.0,829870
2025-09-12,15820.0,821089
2025-09-19,15535.0,820712
2025-09-26,15470.0,823246
2025-10-10,15315.0,831530
2025-10-17,14695.0,831388
2025-10-24,15335.0,825063
2025-10-31,15085.0,830763
2025-11-07,14995.0,837974
2025-11-14,15215.0,835081
2025-11-21,15240.0,838353
2025-11-28,15410.0,839177
2025-12-05,15065.0,837613
2025-12-12,15230.0,836588
2025-12-19,15190.0,837793
2025-12-26,15780.0,836107
2026-01-09,16030.0,836125
2026-01-16,15835.0,840533
2026-01-23,16315.0,838753
2026-01-30,16360.0,835512
2026-02-06,16080.0,844041
2026-02-13,16315.0,835256
2026-02-27,17155.0,854720
2026-03-06,16835.0,858545
2026-03-13,16765.0,864701
2026-03-20,16000.0,871627
2026-03-27,16510.0,876700
2026-04-03,16925.0,878042
2026-04-10,16815.0,872985
2026-04-17,16630.0,870774
2026-04-24,17060.0,857419
