date,price
2016-05-23,10295.0
2016-05-24,10330.0
2016-05-25,10255.0
2016-05-26,10600.0
2016-05-27,10535.0
2016-05-30,10555.0
2016-05-31,10455.0
2016-06-01,10245.0
2016-06-02,10445.0
2016-06-03,10515.0
2016-06-06,10705.0
2016-06-07,10560.0
2016-06-08,10455.0
2016-06-13,10535.0
2016-06-14,10355.0
2016-06-15,10410.0
2016-06-16,10500.0
2016-06-17,10935.0
2016-06-20,10975.0
2016-06-21,10835.0
2016-06-22,11150.0
2016-06-23,11035.0
2016-06-24,10845.0
2016-06-27,11270.0
2016-06-28,11310.0
2016-06-29,11250.0
2016-06-30,11425.0
2016-07-01,11450.0
2016-07-04,12075.0
2016-07-05,11840.0
2016-07-06,11170.0
2016-07-07,10985.0
2016-07-08,10680.0
2016-07-11,10880.0
2016-07-12,11000.0
2016-07-13,11140.0
2016-07-14,11210.0
2016-07-15,11405.0
2016-07-18,11185.0
2016-07-19,11355.0
2016-07-20,11445.0
2016-07-21,11630.0
2016-07-22,11420.0
2016-07-25,11175.0
2016-07-26,11145.0
2016-07-27,11180.0
2016-07-28,11255.0
2016-07-29,10845.0
2016-08-01,10985.0
2016-08-02,10930.0
2016-08-03,12665.0
2016-08-04,12535.0
2016-08-05,12700.0
2016-08-08,12810.0
2016-08-09,12615.0
2016-08-10,12660.0
2016-08-11,12690.0
2016-08-12,13035.0
2016-08-15,13140.0
2016-08-16,13100.0
2016-08-17,13065.0
2016-08-18,12975.0
2016-08-19,13085.0
2016-08-22,12630.0
2016-08-23,12530.0
2016-08-24,12615.0
2016-08-25,12315.0
2016-08-26,12300.0
2016-08-29,12355.0
2016-08-30,12260.0
2016-08-31,12055.0
2016-09-01,12375.0
2016-09-02,12390.0
2016-09-05,12570.0
2016-09-06,12580.0
2016-09-07,12645.0
2016-09-08,12775.0
2016-09-09,12775.0
2016-09-12,12360.0
2016-09-13,12440.0
2016-09-14,12530.0
2016-09-19,13010.0
2016-09-20,13225.0
2016-09-21,13225.0
2016-09-22,13475.0
2016-09-23,13550.0
2016-09-26,13450.0
2016-09-27,13295.0
2016-09-28,13460.0
2016-09-29,13325.0
2016-09-30,13255.0
2016-10-10,13835.0
2016-10-11,14205.0
2016-10-12,14165.0
2016-10-13,14025.0
2016-10-14,14385.0
2016-10-17,14300.0
2016-10-18,14340.0
2016-10-19,13760.0
2016-10-20,13795.0
2016-10-21,13660.0
2016-10-24,13905.0
2016-10-25,13985.0
2016-10-26,14020.0
2016-10-27,14155.0
2016-10-28,14155.0
2016-10-31,14225.0
2016-11-01,14100.0
2016-11-02,13785.0
2016-11-03,13865.0
2016-11-04,13760.0
2016-11-07,14505.0
2016-11-08,15115.0
2016-11-09,15290.0
2016-11-10,15920.0
2016-11-11,16390.0
2016-11-14,15335.0
2016-11-15,15620.0
2016-11-16,16540.0
2016-11-17,16505.0
2016-11-18,16185.0
2016-11-21,17645.0
2016-11-22,18065.0
2016-11-23,18085.0
2016-11-24,18270.0
2016-11-25,18420.0
2016-11-28,19390.0
2016-11-29,18740.0
2016-11-30,17775.0
2016-12-01,18085.0
2016-12-02,18015.0
2016-12-05,18590.0
2016-12-06,18565.0
2016-12-07,19030.0
2016-12-08,18630.0
2016-12-09,19085.0
2016-12-12,19345.0
2016-12-13,20110.0
2016-12-14,20310.0
2016-12-15,20015.0
2016-12-16,19700.0
2016-12-19,19520.0
2016-12-20,19090.0
2016-12-21,19360.0
2016-12-22,18540.0
2016-12-23,18665.0
2016-12-26,17660.0
2016-12-27,17930.0
2016-12-28,17705.0
2016-12-29,18315.0
2016-12-30,18350.0
2017-01-02,18250.0
2017-01-03,18360.0
2017-01-04,18530.0
2017-01-05,18075.0
2017-01-06,17855.0
2017-01-09,18970.0
2017-01-10,19270.0
2017-01-11,19555.0
2017-01-12,20295.0
2017-01-13,20330.0
2017-01-16,21515.0
2017-01-17,21250.0
2017-01-18,21295.0
2017-01-19,21155.0
2017-01-20,19735.0
2017-01-23,19845.0
2017-01-24,20240.0
2017-01-25,20220.0
2017-01-26,21475.0
2017-02-03,20175.0
2017-02-06,20080.0
2017-02-07,20680.0
2017-02-08,20725.0
2017-02-09,20585.0
2017-02-10,20970.0
2017-02-13,22005.0
2017-02-14,22015.0
2017-02-15,21550.0
2017-02-16,20320.0
2017-02-17,20380.0
