date,price,stocks,price_change,stock_diff,stock_5y_avg,stock_deviation,event_covid,event_ukraine,event_mideast
2021-04-29,65.01000213623047,1127582.0,0.0180081665344127,0.0,1129687.0738095238,-2105.073809523834,0,0,0
2021-04-30,63.58000183105469,1118544.0,-0.0219966198767256,-9038.0,1129618.9166666667,-11074.916666666744,0,0,0
2021-05-03,64.48999786376953,1118544.0,0.0143126141319229,0.0,1129550.7595238094,-11006.759523809422,0,0,0
2021-05-04,65.69000244140625,1118544.0,0.0186076076505947,0.0,1129482.6023809523,-10938.602380952332,0,0,0
2021-05-05,65.62999725341797,1118544.0,-0.0009134599750061,0.0,1129412.238095238,-10868.238095238106,0,0,0
2021-05-06,64.70999908447266,1118544.0,-0.014017952269492,0.0,1129341.8738095239,-10797.87380952388,0,0,0
2021-05-07,64.9000015258789,1116719.0,0.0029362145587148,-1825.0,1129270.0611111112,-12551.061111111194,0,0,0
2021-05-10,64.91999816894531,1116719.0,0.0003081146779084,0.0,1129198.2484126985,-12479.248412698507,0,0,0
2021-05-11,65.27999877929688,1116719.0,0.0055452960644686,0.0,1129126.4357142858,-12407.43571428582,0,0,0
2021-05-12,66.08000183105469,1116719.0,0.0122549489386867,0.0,1129057.4873015874,-12338.48730158736,0,0,0
2021-05-13,63.81999969482422,1116719.0,-0.0342009999032471,0.0,1128988.538888889,-12269.5388888889,0,0,0
2021-05-14,65.37000274658203,1116138.0,0.0242871052831346,-581.0,1128919.1293650793,-12781.129365079338,0,0,0
2021-05-17,66.2699966430664,1116138.0,0.0137676894396556,0.0,1128849.7198412698,-12711.719841269776,0,0,0
2021-05-18,65.48999786376953,1116138.0,-0.0117700138646149,0.0,1128780.3103174602,-12642.310317460215,0,0,0
2021-05-19,63.36000061035156,1116138.0,-0.0325240085951556,0.0,1128709.861111111,-12571.861111111008,0,0,0
2021-05-20,62.04999923706055,1116138.0,-0.0206755265257524,0.0,1128639.4119047618,-12501.4119047618,0,0,0
2021-05-21,63.58000183105469,1112830.0,0.0246575763546554,-3308.0,1128566.3373015872,-15736.33730158722,0,0,0
2021-05-24,66.05000305175781,1112830.0,0.0388487126387071,0.0,1128493.2626984126,-15663.26269841264,0,0,0
2021-05-25,66.06999969482422,1112830.0,0.0003027500702874,0.0,1128420.188095238,-15590.18809523806,0,0,0
2021-05-26,66.20999908447266,1112830.0,0.0021189555062068,0.0,1128350.4682539683,-15520.468253968284,0,0,0
2021-05-27,66.8499984741211,1112830.0,0.009666204478147,0.0,1128280.7484126985,-15450.748412698507,0,0,0
2021-05-28,66.31999969482422,1107103.0,-0.0079281793776262,-5727.0,1128206.4833333334,-21103.483333333395,0,0,0
2021-06-01,67.72000122070312,1107103.0,0.021109793913165,0.0,1128132.2182539683,-21029.218253968284,0,0,0
2021-06-02,68.83000183105469,1107103.0,0.0163910305721053,0.0,1128057.9531746032,-20954.95317460317,0,0,0
2021-06-03,68.80999755859375,1107103.0,-0.0002906330368847,0.0,1127984.7722222223,-20881.772222222295,0,0,0
2021-06-04,69.62000274658203,1100513.0,0.0117716206471092,-6590.0,1127906.361111111,-27393.361111111008,0,0,0
