date,stocks
2015-09-04,1121192
2015-08-28,1118790
2015-08-21,1114123
2015-08-14,1119575
2015-08-07,1116956
2015-07-31,1118360
2015-07-24,1122767
2015-07-17,1126971
2015-07-10,1123990
2015-07-03,1127937
2015-06-26,1126915
2015-06-19,1124131
2015-06-12,1128715
2015-06-05,1130792
2015-05-29,1136810
2015-05-22,1138259
2015-05-15,1140474
2015-05-08,1142835
2015-05-01,1145027
2015-04-24,1149129
2015-04-17,1147221
2015-04-10,1141906
2015-04-03,1140614
2015-03-27,1128935
2015-03-20,1124169
2015-03-13,1116000
2015-03-06,1106378
2015-02-27,1101201
2015-02-20,1090898
2015-02-13,1082471
2015-02-06,1074756
2015-01-30,1070430
2015-01-23,1064097
2015-01-16,1055224
2015-01-09,1045154
2015-01-02,1039767
2014-12-26,1043942
2014-12-19,1045696
2014-12-12,1038429
2014-12-05,1039276
2014-11-28,1037980
2014-11-21,1041670
2014-11-14,1039724
2014-11-07,1037116
2014-10-31,1039902
2014-10-24,1039442
2014-10-17,1037382
2014-10-10,1030271
2014-10-03,1021349
2014-09-26,1016435
2014-09-19,1017800
2014-09-12,1022073
2014-09-05,1018400
2014-08-29,1019091
2014-08-22,1019996
2014-08-15,1022066
2014-08-08,1026540
2014-08-01,1025139
2014-07-25,1026603
2014-07-18,1030300
2014-07-11,1034269
2014-07-04,1041794
2014-06-27,1044201
2014-06-20,1047356
2014-06-13,1045614
2014-06-06,1046192
2014-05-30,1048922
2014-05-23,1052353
2014-05-16,1050696
2014-05-09,1058471
2014-05-02,1058868
2014-04-25,1061189
2014-04-18,1060446
2014-04-11,1057460
2014-04-04,1048070
2014-03-28,1044392
2014-03-21,1046771
2014-03-14,1040152
2014-03-07,1034302
2014-02-28,1028422
2014-02-21,1026993
2014-02-14,1026925
2014-02-07,1025952
2014-01-31,1022899
2014-01-24,1022459
2014-01-17,1016038
2014-01-10,1015048
2014-01-03,1022706
